"taks08","outmB08","outmH08","outmW08","outmM08","outmF08","outmE08","outhA08","outhB08","outhH08","outhW08","outhM08","outhF08","outhE08","all_stud_n","grade8_n","stud_teach_rat","all_exp","inst_exp","lead_exp","supp_exp","ed_aide","teach_salary","teach_expr","perc_teach_white","perc_teach_black","perc_teach_hisp","perc_teach_female","perc_stud_white","perc_stud_black","perc_stud_hisp","perc_stud_api","perc_stud_alp","perc_stud_bil","perc_stud_tag","CA311PM07R_67","CA311TM07R_67","CA311TA07R_67","CM311PM07R_67","CA007TM07R_67","CA007TA07R_67","CF311TA07R_67","CM311TM07R_67","CF311PM07R_67","CF311TM07R_67","CA311PA07R_67","CM311TA07R_67","CM007TA07R_67","CM007TM07R_67","CF311PA07R_67","CPEMALLP_67","CFMYA07R_67","CM311PA07R_67","CA311PM06R_67","CA311CM07R_67","CA311TM06R_67","CE311PM07R_67","CAMYA07R_67","CFNYA07R_67","CF007TA07R_67","CE311TM07R_67","CAAYA07R_67","CF007TM07R_67","CE0712DR06R_67","CMMYA07R_67","CMAYA07R_67","CA311TA06R_67","CANYA07R_67","CF311PM06R_67","CF311TA06R_67","CF311TM06R_67","CM008TM07R_67","CA311PC07R_67","CFAYA07R_67","CF311CW07R_67","CF311CM07R_67","CA008TA07R_67","CA008TA06R_67","CMNYA07R_67","CE007TA06R_67","CA311CW07R_67","CA0712DR06R_67","CHNYA07R_67","CM0712DR06R_67","CSAYA07R_67","BPETALLC_67","CPST06SA_67","CA008TM06R_67","CPETG08P_67","CPETGPKP_67","CPST20SA_67","CF008TA06R_67","CA007TR07R_67","CF411FM07R_67","CM00FGM06R_67","CF008TA07R_67","BPETDISC_67","CH007TA06R_67","CA311CR07R_67","CM411FM07R_67","CPSTTOFP_67","CM311TA06R_67","CM00FGM07R_67","CA0AT05R_67","BPETGIFP_67","CF311PC07R_67","CH007TR07R_67","CM311PC07R_67","CE311CW07R_67","CM311PM07R_67_mis","CF311PM07R_67_mis","CM007TA07R_67_mis","CM007TM07R_67_mis","CA311PM06R_67_mis","CE311PM07R_67_mis","CF007TA07R_67_mis","CF007TM07R_67_mis","CE0712DR06R_67_mis","CF311PM06R_67_mis","CM008TM07R_67_mis","CA311PC07R_67_mis","CA008TA07R_67_mis","CA008TA06R_67_mis","CE007TA06R_67_mis","CA0712DR06R_67_mis","CM0712DR06R_67_mis","CPST06SA_67_mis","CPST20SA_67_mis","CA007TR07R_67_mis","CF411FM07R_67_mis","CM00FGM06R_67_mis","CH007TA06R_67_mis","CM411FM07R_67_mis","CM00FGM07R_67_mis","CA0AT05R_67_mis","CF311PC07R_67_mis","CH007TR07R_67_mis","CM311PC07R_67_mis"
59,53,73,NA,65,52,58,NA,NA,NA,NA,NA,NA,NA,0.628952549868916,0.326394922990497,0.842929652460513,0.907801331011394,-0.810193588286126,0.445432331374868,-0.0100475446629926,-0.392812379985711,1.16237429825108,0.310012926819484,-2.35420839254388,4.55438545432003,-0.5717126626588,-0.271061828141999,-1.3634590176585,3.47331285472214,-0.668636221318216,-0.240574975122205,1.82667328101471,-0.225773063692929,-0.863900381910462,-1.36868108503779,-1.36882866945288,-1.35724383869851,-1.21278136505083,-2.10636555201485,-1.87931343307528,-1.38475245732437,-1.21301793718552,-1.47712941956636,-1.47712549242445,-1.34451991123059,-1.28640848657675,-1.51693957864274,-1.65099076851842,-1.45644538666601,2.28647869188719,1.61973712082584,-1.19096845380542,-1.05751155782991,-1.09689233009001,-1.05751155782991,-0.977154075214602,1.54275968854939,1.50575555168012,-2.14577092601817,-0.977692312330737,-1.04771875495248,-2.51912738340499,1.80581786599882,1.27795042557071,-0.956086161641157,-1.15385577729155,1.4374305875264,-1.11722600379516,-1.14873544702908,-1.1172937313323,-0.44950110741219,-1.6050982335835,-1.00498491126956,-1.10036055262345,-1.23124007448245,-1.45909979421227,-1.56252420636385,1.18926595269767,-0.572029731256797,-0.998051207815073,1.79338245613134,0.905916613218282,2.59238958239475,-0.350316891638692,0.104206202110028,0.741492666963266,-1.1245645935138,-0.312422295851597,-0.176054433460913,1.51209270473581,-1.35184493398853,-2.2067089758445,-1.12503635947185,0.649291593063277,-1.51848457679909,2.23713458919651,-0.190979541235615,-1.23576735111607,-0.739763027916319,0.492476988845641,-1.06349678517958,-0.278940277254481,-1.44153483640819,-1.90696355467425,-1.68904478939586,-1.33608427062193,-1.3352184063066,-0.572508686379653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,NA,87,88,89,NA,NA,NA,NA,NA,NA,NA,1.59853608899942,0.813069675447324,0.909431317713732,2.24406399273311,-0.34138426823863,0.345234417830444,0.0856401457852404,1.45179428954387,0.941865195885711,0.228276325673138,-1.99930033130757,2.72055314494269,0.19770090080109,-0.189592366042983,-1.32074775190616,-0.39607956937943,1.62820030871581,-0.478978124251207,-0.102258591937114,1.22781110803664,0.816027692524173,0.501606780309591,0.501447447768231,0.168696156202259,0.415504239042676,0.181857884217423,-0.337410513842349,0.117574669594342,0.415377533195348,0.487876485493605,0.487672666696407,0.0401493045637423,0.207885277542318,-0.165490205953552,0.185285197427813,-0.0194945779801427,0.232479845245227,-0.381803812969223,0.158222717783105,-0.354452594300995,-0.217395466827348,-0.354452594300995,0.887566687088575,-0.0934287443703012,-0.264212254532602,-0.497285293411976,0.887433765250046,-0.664263830714418,0.234870768441777,0.443153033631038,0.194785147830625,-1.14181620904268,-0.295527932786761,-0.044167751035984,-0.351162479093558,-0.290846104887268,-0.351218072449969,0.521623076636384,-0.579685016940165,-0.0949711882630373,-0.498046301042566,-0.444509487232699,-0.240136163243678,-0.467901465948467,0.172751888328103,0.152332676061548,-0.240469245763912,0.5633748083138,-0.131549093599348,0.759984476355352,-0.191719617986439,1.11005243351132,0.645736934929351,-0.383004534646495,-0.628263580323474,-0.176054433460913,1.58737823292973,-0.607314164948007,-0.612995455648226,1.32690058857079,-0.675530088947341,-0.463618005902308,2.21567709083397,0.0578418376749737,-0.76996398916264,0.569157121516373,0.0198767511018194,-0.359438880672023,1.29085532949476,-0.559395816270884,-0.244874329155257,-0.611856541148238,-0.333941595595607,-0.497752231056211,0.192106051608382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,54,77,NA,55,61,61,NA,NA,NA,NA,NA,NA,NA,0.351558328780777,0.168554462734229,0.946997070861537,0.534036253214726,-1.15879539037273,0.705946906590372,-0.392798306455924,0.298915121087881,1.10012417163328,0.0447696756294537,-2.24753311866323,4.28781861050585,-0.515786519991869,0.325050707829146,-1.34046064379185,3.72981700695455,-0.838048277434201,-0.305594015793751,2.2601411176331,-0.195063538938079,-0.961896186252483,-1.59311562887948,-1.59326180351941,-1.42660474755764,-1.50883329306783,-1.89184460486808,-1.87931343307528,-1.38475245732437,-1.50908984089113,-1.62268541253376,-1.62266609680378,-1.67420305784829,-1.35433093040035,-1.71000377474119,-1.65099076851842,-1.71770917006345,1.84550718808835,1.17495024664916,-1.64069884433493,-2.0417941067704,-1.44869107539508,-2.0417941067704,-1.1325474720732,1.18414304571768,1.39649827969168,-1.88201322480118,-1.13311948546247,-1.7050700536463,-2.0371777068318,1.12448544981493,1.11445377987409,-1.98604369723141,-1.7480827465641,1.72067732872215,-2.02257380571524,-1.8086503255997,-2.02265587364777,-0.83795078103162,-1.54813083265887,-1.27798902817152,-1.22082340293962,-1.40606909387129,-1.11082447107839,-1.89091102848847,1.87345811140796,-1.4280943944512,-1.13579338273347,1.09052094309274,1.60322962927603,0.998993838012665,-1.54589633917106,0.388817680294539,0.806544115355871,-1.49534462294745,-0.198368498681197,-0.176054433460913,1.67029885006785,-1.83047185694316,-1.67547113577907,-0.467199617314069,-0.344324668444686,-1.07433023115834,2.11994363660111,-1.06185436742267,-1.23576735111607,-0.303456311438755,-0.140698013468513,-1.70354942564099,-0.100554412851159,-2.14724605251804,-1.69250042880083,-1.31202890250919,-1.03544146811403,-1.67020487640675,-0.827380265708998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,67,75,71,76,74,75,NA,NA,NA,NA,NA,NA,NA,1.43780298892966,1.03010030829969,1.3230319750507,1.47903664803045,0.00721753384796988,0.245036504286019,-0.632017532576507,-0.623388213676909,0.943780584397028,0.006608949054976,-0.69466119130793,0.600775533053559,-0.112346206990312,-1.28862055456474,-1.26489455823001,-0.439739850610478,1.60539483962327,-0.478978124251207,0.43957620383587,1.53490635558514,-0.98989498749306,-1.21905805581,-1.21920658007519,-1.21852202098026,-1.06475540104233,-1.03376081628097,-1.34299937421165,-1.24817726396813,-1.06498198533271,-1.25879543011525,-1.25881458585547,-1.14671002325997,-1.08264115510597,-1.13081118644583,-0.874104782925782,-1.19518160326858,0.754682941849117,0.530009279092973,-1.12672125515835,-1.33873514324148,-1.18484201641628,-1.33873514324148,-0.744063979926704,0.601391001116144,0.850211919749484,-1.42043724767144,-0.744551552633139,-1.6320310204581,-1.21097826127777,0.556708436328354,0.562652600648013,-1.37819990573552,-1.41795665252379,0.870937105134899,-1.32615241962287,-1.41270139845733,-1.32622345648202,-0.578984331952,-0.636652417864794,-1.71479561521465,-1.46174910357197,-1.14382556478804,-0.704503260755522,-1.17940624721847,0.720105615296333,-1.16468988269908,-1.34240664511106,0.739090186573448,0.582771556996397,1.07866362523177,-0.679711229224142,1.61551405662495,0.70090056316628,-0.691987892507871,-0.251008712759844,-0.176054433460913,0.788179736701345,-1.35184493398853,-1.67547113577907,-0.347592936921746,-0.013119247942032,-0.796733765132872,1.89546519219303,-1.24847040160561,-1.39103513843388,0.132850405038809,1.14971575001199,-1.31951784136414,0.220540143074822,-1.00046532633954,0.130436141123224,-0.611856541148238,-1.33608427062193,-0.553583309406237,-0.997294651928562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,86,86,90,89,84,85,NA,NA,NA,NA,NA,NA,NA,1.28743976628375,0.773609560383257,1.36555670104142,1.4341701588125,0.0553005410323291,0.12479900803271,0.0377963005611237,0.126606707211501,1.40060074434612,0.862543012387627,-1.15876844985249,2.1374191243378,-0.332257030630649,-0.190117124977417,-0.919918950230318,0.411635633394946,0.715981545014353,-0.283921002236569,-0.449032861231824,0.347471398397604,0.606036683219843,-0.0220738219876765,-0.022229865053679,0.0993352473431326,0.045439329021425,-0.0326630629293525,0.0648250303053722,0.0492870729162189,0.0452876535633325,-0.0943474863760129,-0.094489750820885,0.106085933887282,0.207885277542318,0.15628345421054,-0.0972187973331454,-0.0194945779801427,0.383338517597462,-0.0482136573367127,0.222469916430177,0.137688680169248,-0.393294839479881,0.137688680169248,0.265993099654183,0.0634660368685736,-0.0238462561580345,0.0302301090220051,0.265725072723118,-0.152990598397001,0.0283209070532699,0.216042228236408,0.174348067118548,-0.145627772979974,0.232673817677725,0.0429850924088619,-0.00295178604737427,0.171094310112168,-0.00300186386709345,0.327398239826669,0.0469563932307618,-0.16777228610356,1.24866502854198,-0.531923996927116,0.398368595835108,0.40779672638384,0.133655193544658,0.284034931937611,1.34356576579761,0.211944051794504,-0.386663611669258,0.122626178602518,-0.203919408267381,0.39508928684425,0.838029016377892,0.420352195793085,-0.408929354995782,-0.176054433460913,1.12625437274197,0.349939680961239,0.343232656469537,0.609260506216845,0.465288581672913,0.535729271789384,1.38543696188348,0.182252527130268,0.239276628403125,0.257509466889542,0.409040116177144,0.344619023835532,0.327571661716815,-0.206540208215955,-0.566569017965384,0.088315820212718,0.768415346933348,0.0605585524440444,1.9762071069138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,64,66,91,74,64,65,NA,NA,NA,NA,NA,NA,NA,1.72297461808569,1.29974442790415,1.76675334559719,1.69569292210827,-0.293301261054271,1.16685730889472,-1.34967521093825,0.0683392873966835,1.1561492855893,0.275968480999396,-0.786491673433539,1.34627206538329,-0.00624906954668636,-0.666724399374271,-1.02176889163975,0.0732684538543289,1.03851603646594,-0.370613056465297,-0.384012685739066,0.00966662609425456,1.80998513656467,0.0527376926262189,0.0525811796351653,0.0993352473431326,0.045439329021425,-0.17567702769387,-0.203331999126442,-0.0190005237619046,0.0452876535633325,-0.0215694898923106,-0.0217194486312235,-0.0257873247597975,0.139962833718724,0.027573990144903,-0.0265927986429057,-0.0194945779801427,-0.533418029773812,-0.604197250057564,-0.0345188781581137,-0.0732290088894278,-0.305345153153614,-0.0732290088894278,0.265993099654183,-0.586526628263908,-0.679389888088673,-0.431345868107729,0.265725072723118,0.70521804156438,-0.315928861927576,0.329597630933723,-0.479638515667919,0.59729241662611,-0.031427057554518,-0.676025866011117,-0.211878201875084,-0.158863129173143,-0.211931589016819,0.392139852096574,-0.180913210467757,0.705840887982707,0.104267950538313,-0.357094977538282,0.0500932727012246,-0.467901465948467,-0.570085312557352,0.679141699565799,0.379370541368855,0.12408636266468,-0.590755226125185,0.281965753040726,1.18685668376007,0.177524269155461,0.694135212533449,-0.321207863074219,-0.215915236707413,-0.176054433460913,1.42810672634967,-0.607314164948007,0.0244899524302825,0.13083378464755,0.134083161170259,0.0360556329435381,0.97279276260391,0.679895284951444,0.0840088410853149,0.319838997814908,0.497847876077623,0.0245927036048254,0.327571661716815,-0.0301124041884913,-0.0840269847501936,-0.0194030046120445,-0.03329879308771,-0.274427917656109,0.446977630937727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,46,64,NA,56,59,59,NA,NA,NA,NA,NA,NA,NA,2.34516726351703,1.73380569360889,1.56818158587752,2.45754750032304,-0.161072991297286,0.345234417830444,-0.153579080335342,0.0683392873966835,1.22318788348539,0.769972238509451,-1.88933280391904,3.41805114358466,-0.456455156963064,-0.425350565964622,-1.34703160775375,0.924643937859752,0.859330207881725,-0.435632097136843,-0.167278767429872,1.31993968230119,-0.48591656516267,-1.44349259965169,-1.44363971414172,-1.35724383869851,-1.43482031106358,-1.82033762248582,-1.87931343307528,-1.31646486064625,-1.43507186496473,-1.33157342659895,-1.33158488804513,-1.54232979920121,-1.35433093040035,-1.83871323880683,-1.86286876458914,-1.45644538666601,0.0119940933458067,0.107461748625126,-1.51220444704079,-0.776287972418345,-1.18484201641628,-0.776287972418345,-1.0548507736439,0.197947277930466,0.238371196614221,-1.81607379949693,-1.0554058988966,-0.682523589011468,-1.69292793785096,1.01093004711761,0.194785147830625,-0.804125213767186,-0.823729683251248,0.282655411882188,-0.769015310748977,-0.752786519886704,-0.76907752274942,-0.902692393301525,-1.66206563450813,-0.422576128545386,-1.16059197778153,-1.14382556478804,-1.45909979421227,-0.686826014031543,0.23139693050327,-0.769583115070891,-1.20466447019266,1.09052094309274,0.0895501553945727,1.31767298688908,-0.569913116695658,1.51934942286271,0.718334351335498,-0.0122245052128426,-0.294875557825382,-0.176054433460913,1.21396911549621,-0.607314164948007,-1.35672843173982,-0.227986256529422,1.38530363862473,-1.40744599038891,1.82283981311982,-0.626416954329144,-1.08049956379826,-0.677433496990953,0.715396134422178,-0.871480993041153,-0.635712006061125,0.0581014978252345,-0.352105892091966,-1.41974772733396,-0.9352272006114,-1.83769811145683,-0.827380265708998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,59,67,80,73,61,68,NA,NA,NA,NA,NA,NA,NA,0.587473040173493,0.240898007018352,0.957567727200137,0.986104658535759,-0.149052239501195,0.545630244919292,-1.11045598481767,0.0683392873966835,0.577462531607659,-1.04789857445921,-0.460880366430991,1.49963931349013,-0.491244950957835,-0.398170183852676,-1.22218329247767,-0.330589147532859,1.49136749416059,-0.457305110694025,1.43655222805816,0.828587286223587,-0.625910571365556,-1.51830411426558,-1.51845075883056,-1.35724383869851,-1.13876838304658,-1.17677478104549,-1.00780308742188,-1.65790284403687,-1.13899996125912,-1.76824140550117,-1.7682067011831,-1.27858328190705,-1.01471871128238,-0.744682794248916,-0.944730781616022,-1.52176133251537,0.325315951308141,0.0407437174986236,-0.998226857864205,-1.26842924688859,-1.27279170274255,-1.26842924688859,-1.0548507736439,0.13070665739952,0.0417081070350293,-1.28855839706295,-1.0554058988966,-0.536445522635063,-1.41752812266628,-0.0110685771582221,0.256096389966856,-0.78724066400341,-1.21988099609961,0.108349724992497,-1.46543669684134,-1.34670991060026,-1.46550993991517,-0.70846755649181,-1.26329382803572,-0.295174207324472,-1.10036055262345,-1.23124007448245,-1.45909979421227,-1.34359965828077,0.192300235719825,-1.16468988269908,-1.06692229527427,0.0362286735348556,-0.0805261899853667,0.202295965821622,0.259672622408435,1.02374318147006,0.951218536581026,-1.00097125036925,-0.391382616969567,-0.176054433460913,1.16141129392687,-1.40502570320571,-0.825490591674396,-0.826019658491041,-0.565128282113122,-1.74056174961947,1.98624691603453,-1.18626505687797,-1.46866903209278,-0.303456311438755,0.234395172415631,-0.999491521133436,-0.35029462301581,-0.294754110229694,-0.727416362370447,-1.31202890250919,-0.333941595595607,-1.05606301455647,-0.742423072599217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,60,60,NA,55,67,59,NA,NA,NA,NA,NA,NA,NA,1.15522382912959,1.0958671667398,0.639879161194727,1.39075792290944,-0.257239005666003,0.0646802599060552,-0.297110616007691,-0.162236546294514,0.712736845219419,-0.419756008076064,-1.15283309066688,0.338550773674863,0.43588957684735,-0.768053706356818,-1.33388967982995,-0.565263159149739,1.72268010924203,-0.370613056465297,-0.90417408968113,1.30970317404957,0.94202229810677,-1.14424654119611,-1.14439553538634,-1.14916111212113,-1.28679434705508,-1.46280271057453,-1.4100386315696,-1.04331447393376,-1.28703591311192,-1.04046144066414,-1.04050367928648,-1.08077339393643,-1.21848604275316,-1.3882301145771,-1.4391127724477,-0.933917819871152,0.336920464566005,-0.00373496991904454,-1.12672125515835,-0.916899765124129,-0.92099295743748,-0.916899765124129,-0.821760678356004,0.265187898461412,-0.0894006193510983,-1.3544978223672,-0.822265139199005,-1.08423827154658,-1.34867816887011,-0.0110685771582221,0.460467197087627,-1.02362436069626,-0.889754902059308,0.151926146714919,-0.699373172139741,-0.686795032029641,-0.699434281032845,-1.22640045465105,-1.0354242243372,-1.02318518572969,-0.97989770230727,-0.794167526010368,-1.05277858388941,-0.741557151052312,0.329138667461883,-0.572029731256797,-0.929180120355877,0.211944051794504,0.0895501553945727,-0.116383183054795,0.345071154375033,1.18740224762443,0.739150814821132,-0.815581235652422,0.117472785790679,-0.176054433460913,1.12660949315798,-0.607314164948007,-1.35672843173982,-0.706412978098717,-0.454726475278904,-0.90777235154306,1.06357448644541,-0.626416954329144,-1.08049956379826,-1.11374021346852,1.33322090050638,-1.06349678517958,-0.849775043345112,0.587384909907614,0.398515048464997,-0.827294190797763,-0.9352272006114,-1.11189409290649,-0.657465879489435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,77,95,84,83,77,NA,NA,NA,NA,NA,NA,NA,1.88889265686738,1.31947448543618,1.18830329278678,1.90991646718031,-0.0408654733363894,-0.175794732600563,-0.201422925559459,-0.623388213676909,1.26341104222305,0.366354389803968,-0.396367822361454,0.728845384607766,-0.266783538897466,0.502231115717443,-0.821354490801834,1.23026590647708,0.0350753963943366,0.344596390921707,-0.990867657004808,-0.0210428986605955,1.20801090989225,0.277172236467905,0.277014313701698,0.376778882779636,0.415504239042676,0.467885813746458,0.467060574453093,0.254149862950589,0.415377533195348,0.123986503075094,0.123821155748099,0.369832451181441,0.479575052836694,0.671121310473086,0.609041189569252,0.307085151266646,-0.545022543031676,-0.604197250057564,0.479458711018468,0.278300472875031,-0.217395466827348,0.278300472875031,0.265993099654183,-0.452045387202015,-0.679389888088673,0.293987810238996,0.265725072723118,0.321763117326317,0.234870768441777,-0.0110685771582221,-0.254830627835071,0.0401022744215468,0.364724255293847,-0.545296600843848,0.275616768389572,0.303077285826293,0.275571102999207,0.780589525716003,0.38876079877854,0.542038417841531,0.706582202119192,-0.269680467843865,0.514460370213069,0.626721274466917,-0.355053491248404,0.547439443689737,0.861468153583231,0.211944051794504,-0.148556728137342,0.0429563913834135,0.80866318505085,-0.0960372355843217,0.773237773778857,0.667538882082186,-0.33874240289092,-0.176054433460913,1.39348248578878,0.669024296264322,0.343232656469537,0.669063846413007,0.28128557028255,0.424690685379196,0.271297623828641,0.244457871857915,0.549812203038745,0.818475245217839,1.17980554087875,0.408624287881673,0.720020563404124,0.410957105880163,-0.137642766218548,0.411472294687005,-0.133513060590342,0.339713944194172,1.0416779827062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
